"event","experiment time","system time","system time text"
"START",0.000000000E0,1737200387.095,"2025-01-18 12:39:47.095 UTC+01:00"
"PAUSE",3.278708134E1,1737200419.882,"2025-01-18 12:40:19.882 UTC+01:00"
