Beschaeftigte
155.0
163.3
168.9
171.0
169.8
169.2
167.6
165.0
165.0
166.2
146.5
137.2
132.8
129.9
124.9
124.3
120.5
117.4
114.2
114.4
113.9
110.9
108.3
107.1
103.6
102.9
105.3
105.6
102.3
102.2
100.6
100.4
95.9
96.9
90.3
98.4
97.5
100.7
99.3
100.2
100.3
101.4
97.6
101.3
99.8
101.5
101.5
103.9
102.8
102.9
102.6
104.9
103.8
102.4
100.5
98.0
98.0
97.2
96.7
98.5
96.2
