GENESIS-Tabelle: 43311-0002;;;
Elektrizitätserzeugung, Nettowärmeerzeugung,;;;
Brennstoffeinsatz: Deutschland, Monate, Energieträger;;;
Monatserhebung ü. Elektrizitäts- u. Wärmeerzeugung;;;
Deutschland;;;
;;;Elektrizitätserzeugung (netto)
;;;MWh
2008;März;Steinkohlen;8849429
2008;März;Insgesamt;43118190
2008;April;Steinkohlen;10129810
2008;April;Insgesamt;42982153
2008;Mai;Steinkohlen;7547392
2008;Mai;Insgesamt;38645527
2008;Juni;Steinkohlen;7801092
2008;Juni;Insgesamt;36313843
2008;Juli;Steinkohlen;7703807
2008;Juli;Insgesamt;37004885
2008;August;Steinkohlen;6104014
2008;August;Insgesamt;36702649
2008;September;Steinkohlen;8332368
2008;September;Insgesamt;38956561
2008;Oktober;Steinkohlen;9591688
2008;Oktober;Insgesamt;42632240
2008;November;Steinkohlen;9480416
2008;November;Insgesamt;41419514
2008;Dezember;Steinkohlen;8755170
2008;Dezember;Insgesamt;42362329
2009;Januar;Steinkohlen;10584054
2009;Januar;Insgesamt;44546212
2009;Februar;Steinkohlen;9026609
2009;Februar;Insgesamt;38929059
2009;März;Steinkohlen;8100449
2009;März;Insgesamt;39128355
2009;April;Steinkohlen;6335175
2009;April;Insgesamt;33958458
2009;Mai;Steinkohlen;5188366
2009;Mai;Insgesamt;32156426
2009;Juni;Steinkohlen;6425408
2009;Juni;Insgesamt;33591565
2009;Juli;Steinkohlen;6470139
2009;Juli;Insgesamt;34357886
2009;August;Steinkohlen;6125896
2009;August;Insgesamt;33816525
2009;September;Steinkohlen;7478183
2009;September;Insgesamt;35486099
2009;Oktober;Steinkohlen;9131581
2009;Oktober;Insgesamt;38826418
2009;November;Steinkohlen;8132319
2009;November;Insgesamt;39312794
2009;Dezember;Steinkohlen;8655354
2009;Dezember;Insgesamt;42357277
2010;Januar;Steinkohlen;10508543
2010;Januar;Insgesamt;45577337
2010;Februar;Steinkohlen;9292398
2010;Februar;Insgesamt;40724262
2010;März;Steinkohlen;9237660
2010;März;Insgesamt;41502936
2010;April;Steinkohlen;8251966
2010;April;Insgesamt;37370378
2010;Mai;Steinkohlen;7116382
2010;Mai;Insgesamt;36737297
2010;Juni;Steinkohlen;6398606
2010;Juni;Insgesamt;33639343
2010;Juli;Steinkohlen;7165037
2010;Juli;Insgesamt;36226556
2010;August;Steinkohlen;5469250
2010;August;Insgesamt;34429886
2010;September;Steinkohlen;7406665
2010;September;Insgesamt;35985945
2010;Oktober;Steinkohlen;9683626
2010;Oktober;Insgesamt;39268117
2010;November;Steinkohlen;8996712
2010;November;Insgesamt;41265551
2010;Dezember;Steinkohlen;10179121
2010;Dezember;Insgesamt;45901132
2011;Januar;Steinkohlen;8525930
2011;Januar;Insgesamt;44413519
2011;Februar;Steinkohlen;8194160
2011;Februar;Insgesamt;39632725
2011;März;Steinkohlen;9457763
2011;März;Insgesamt;41120832
2011;April;Steinkohlen;6948396
2011;April;Insgesamt;33008913
2011;Mai;Steinkohlen;8641749
2011;Mai;Insgesamt;31491083
2011;Juni;Steinkohlen;7149369
2011;Juni;Insgesamt;30624114
2011;Juli;Steinkohlen;6258246
2011;Juli;Insgesamt;31955182
2011;August;Steinkohlen;6526260
2011;August;Insgesamt;32734915
2011;September;Steinkohlen;7887215
2011;September;Insgesamt;33317108
2011;Oktober;Steinkohlen;8968451
2011;Oktober;Insgesamt;36509796
2011;November;Steinkohlen;10261493
2011;November;Insgesamt;39740019
2011;Dezember;Steinkohlen;7679676
2011;Dezember;Insgesamt;36634185
2012;Januar;Steinkohlen;9058892
2012;Januar;Insgesamt;39227746
2012;Februar;Steinkohlen;11336828
2012;Februar;Insgesamt;42411528
2012;März;Steinkohlen;9089517
2012;März;Insgesamt;39262786
2012;April;Steinkohlen;9425613
2012;April;Insgesamt;34442757
2012;Mai;Steinkohlen;7782223
2012;Mai;Insgesamt;31892527
2012;Juni;Steinkohlen;6910301
2012;Juni;Insgesamt;31606633
2012;Juli;Steinkohlen;7361317
2012;Juli;Insgesamt;32296736
2012;August;Steinkohlen;7574113
2012;August;Insgesamt;33732881
2012;September;Steinkohlen;8122750
2012;September;Insgesamt;33861683
2012;Oktober;Steinkohlen;9890581
2012;Oktober;Insgesamt;38348622
2012;November;Steinkohlen;9922858
2012;November;Insgesamt;39925382
2012;Dezember;Steinkohlen;9354832
2012;Dezember;Insgesamt;38439484
2013;Januar;Steinkohlen;11154046
2013;Januar;Insgesamt;42405868
2013;Februar;Steinkohlen;11086696
2013;Februar;Insgesamt;40129006
2013;März;Steinkohlen;10447268
2013;März;Insgesamt;41147783
2013;April;Steinkohlen;9696948
2013;April;Insgesamt;35296760
2013;Mai;Steinkohlen;7936235
2013;Mai;Insgesamt;31144718
2013;Juni;Steinkohlen;6834430
2013;Juni;Insgesamt;30295808
2013;Juli;Steinkohlen;8464642
2013;Juli;Insgesamt;32235844
2013;August;Steinkohlen;8046809
2013;August;Insgesamt;31590499
2013;September;Steinkohlen;8964095
2013;September;Insgesamt;34807759
2013;Oktober;Steinkohlen;9384935
2013;Oktober;Insgesamt;36872274
2013;November;Steinkohlen;10190795
2013;November;Insgesamt;38854794
2013;Dezember;Steinkohlen;8517085
2013;Dezember;Insgesamt;36488550
2014;Januar;Steinkohlen;10632024
2014;Januar;Insgesamt;40178581
2014;Februar;Steinkohlen;9292348
2014;Februar;Insgesamt;35493362
2014;März;Steinkohlen;9331438
2014;März;Insgesamt;36525673
2014;April;Steinkohlen;8837153
2014;April;Insgesamt;32771285
2014;Mai;Steinkohlen;7971228
2014;Mai;Insgesamt;30166890
2014;Juni;Steinkohlen;7390802
2014;Juni;Insgesamt;29990833
2014;Juli;Steinkohlen;8619661
2014;Juli;Insgesamt;31435508
2014;August;Steinkohlen;6214261
2014;August;Insgesamt;29450756
2014;September;Steinkohlen;9818138
2014;September;Insgesamt;34878011
2014;Oktober;Steinkohlen;10206392
2014;Oktober;Insgesamt;38436458
2014;November;Steinkohlen;10174228
2014;November;Insgesamt;38514196
2014;Dezember;Steinkohlen;9246487
2014;Dezember;Insgesamt;36584971
2015;Januar;Steinkohlen;8959936
2015;Januar;Insgesamt;37529042
2015;Februar;Steinkohlen;10700382
2015;Februar;Insgesamt;37569319
2015;März;Steinkohlen;10185969
2015;März;Insgesamt;36347823
2015;April;Steinkohlen;8285099
2015;April;Insgesamt;31776269
2015;Mai;Steinkohlen;5960237
2015;Mai;Insgesamt;28128764
2015;Juni;Steinkohlen;7820014
2015;Juni;Insgesamt;29904019
2015;Juli;Steinkohlen;8621599
2015;Juli;Insgesamt;30119098
2015;August;Steinkohlen;7737456
2015;August;Insgesamt;31198733
2015;September;Steinkohlen;9347750
2015;September;Insgesamt;33621585
2015;Oktober;Steinkohlen;11862876
2015;Oktober;Insgesamt;38395765
2015;November;Steinkohlen;8774324
2015;November;Insgesamt;34237942
2015;Dezember;Steinkohlen;7951870
2015;Dezember;Insgesamt;33569778
2016;Januar;Steinkohlen;9811243
2016;Januar;Insgesamt;38416514
2016;Februar;Steinkohlen;8054141
2016;Februar;Insgesamt;33785540
2016;März;Steinkohlen;9600711
2016;März;Insgesamt;36772252
2016;April;Steinkohlen;8108314
2016;April;Insgesamt;30717765
2016;Mai;Steinkohlen;6706352
2016;Mai;Insgesamt;28120124
2016;Juni;Steinkohlen;8169650
2016;Juni;Insgesamt;30086132
2016;Juli;Steinkohlen;6939697
2016;Juli;Insgesamt;30040135
2016;August;Steinkohlen;6242425
2016;August;Insgesamt;30628838
2016;September;Steinkohlen;8458304
2016;September;Insgesamt;33755822
2016;Oktober;Steinkohlen;8864996
2016;Oktober;Insgesamt;36924742
2016;November;Steinkohlen;9318164
2016;November;Insgesamt;37553886
2016;Dezember;Steinkohlen;9490935
2016;Dezember;Insgesamt;36400189
2017;Januar;Steinkohlen;12050275
2017;Januar;Insgesamt;40362912
2017;Februar;Steinkohlen;8866255
2017;Februar;Insgesamt;32435226
2017;März;Steinkohlen;7443429
2017;März;Insgesamt;32513076
2017;April;Steinkohlen;5926543
2017;April;Insgesamt;28853538
2017;Mai;Steinkohlen;6523936
2017;Mai;Insgesamt;30537068
2017;Juni;Steinkohlen;4705680
2017;Juni;Insgesamt;27575711
2017;Juli;Steinkohlen;5380794
