GENESIS-Tabelle: 45212-0002;;;;;;
Beschäftigte im Einzelhandel: Deutschland, Monate/Quartale/Halbjahre, Wirtschaftszweige;;;;;;
Monatsstatistik im Einzelhandel;;;;;;
Deutschland;;;;;;
;;;;Beschäftigte;Vollzeitbeschäftigte;Teilzeitbeschäftigte
;;;;2015=100;2015=100;2015=100
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2022;September;99.90;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2022;Oktober;97.90;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2022;November;97.80;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2022;Dezember;97.20;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;Januar;96.70;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;Februar;96.90;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;März;97.40;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;April;96.80;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;Mai;96.70;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;Juni;97.90;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;Juli;98.70;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;August;98.30;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;September;97.50;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;Oktober;98.00;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;November;97.60;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2023;Dezember;98.50;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;Januar;96.20;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;Februar;96.40;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;März;...;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;April;...;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;Mai;...;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;Juni;...;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;Juli;...;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;August;...;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;September;...;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;Oktober;...;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;November;...;-;-
WZ08-4722;Einzelhandel mit Fleisch und Fleischwaren;2024;Dezember;...;-;-
__________;;;;;;
© Statistisches Bundesamt (Destatis), 2024;;;;;;
Stand: 09.04.2024 / 16:58:39;;;;;;
